Feature,Variance,Pearson_Correlation,Mutual_Information,RF_Importance,RF_Rank,MI_Rank,Corr_Rank,Composite_Rank
market_Software,0.09572369764005406,0.09869709135382491,0.0077030709616079385,0.023107462746544006,13.0,4.0,1.0,6.0
scaled_FundingDensity,1.0000000000000004,0.029363350992909893,0.00708407315224302,0.09228168398736351,4.0,5.0,9.0,6.0
scaled_hn_sentiment_score,1.0000000000000002,0.04617033289651286,0.007843021439315034,0.024790088376832657,12.0,3.0,4.0,6.333333333333333
scaled_MarketPopularityScore,1.0000000000000002,0.04518418954647053,0.006925488339858177,0.035362807158444545,9.0,6.0,5.0,6.666666666666667
scaled_InvestorDiversityScore,1.0,0.077629279121565,0.0069202227296922825,0.029949280281784642,11.0,7.0,2.5,6.833333333333333
scaled_funding_rounds_count,1.0,0.077629279121565,0.004711988161031355,0.03430913197509101,10.0,10.0,2.5,7.5
scaled_StartupAge,1.0,0.01305914062877387,0.012963608071939303,0.10602402087052104,1.0,1.0,24.0,8.666666666666666
scaled_internet_penetration_at_founding,0.9999999999999998,0.023085223408044458,0.00448842317309972,0.09214271452057769,5.0,11.0,13.0,9.666666666666666
region_North America,0.20992108959009947,0.03905861274488612,0.002521148646398963,0.0160726889421903,14.0,20.0,7.0,13.666666666666666
market_Other,0.24212421150267419,0.03138051509071719,0.003405297665679985,0.0059097570394339525,22.0,13.0,8.0,14.333333333333334
scaled_FundingPerYear,1.0000000000000004,0.01580997092444191,0.0026321962182853653,0.10192441195424917,2.0,19.0,22.0,14.333333333333334
income_Lower middle income,0.02740152544251934,0.029029739641148293,0.004046257229517236,0.004885695048547747,24.0,12.0,10.0,15.333333333333334
scaled_FundingVelocity,0.9999999999999998,0.00787232262166388,0.00960130634746581,0.08777494648859835,6.0,2.0,39.0,15.666666666666666
scaled_MacroStartupClimateScore,0.9999999999999998,0.023085223408044447,0.0018504418249234433,0.08296119370147327,7.0,27.0,14.0,16.0
scaled_funding_total_usd,1.0000000000000002,0.012019291473877045,0.0025053575644409243,0.09546236815753019,3.0,21.0,26.0,16.666666666666668
region_South Asia,0.023765799710032624,0.027550037511936732,0.003290150551482629,0.003999365357296825,26.0,14.0,11.0,17.0
scaled_hn_public_engagement,1.0,0.009416700938708293,0.004831728437885818,0.0425972882768545,8.0,9.0,35.0,17.333333333333332
scaled_founder_count,1.0000000000000002,0.0042936505484236645,0.005169351884384499,0.011975975015510641,15.0,8.0,45.0,22.666666666666668
income_Upper middle income,0.046194246438310944,0.018939097442352712,0.0016748618467783416,0.006591030849134301,20.0,30.0,20.0,23.333333333333332
region_Europe & Central Asia,0.14263518507752743,0.011394183748122289,0.0017822171434485057,0.011594413170462328,16.0,28.0,28.0,24.0
market_Social Media,0.006105143850775092,0.010661549740491442,0.0021415452113418,0.006208087774684508,21.0,23.0,31.0,25.0
region_Middle East & North Africa,0.018030583848691717,0.00913877311590895,0.002777238432159157,0.00530970565064784,23.0,17.0,37.0,25.666666666666668
market_Curated Web,0.015613603579066345,0.044503270335138526,0.0,0.010763052374391084,18.0,55.5,6.0,26.5
scaled_female_founder_ratio,1.0,0.0242129247816059,0.0,0.008389497518759566,19.0,55.5,12.0,28.833333333333332
market_Travel,0.003581799650586117,0.003277399086305471,0.002879443173507079,0.0021337178093994787,32.0,16.0,48.0,32.0
market_Enterprise Software,0.012622799314497089,0.012535100060985996,0.00198600390454029,0.001051819743264259,47.0,24.0,25.0,32.0
market_Consulting,0.006344785060724127,0.009462807129517038,0.0012638520354337768,0.002366568939887531,30.0,35.0,34.0,33.0
scaled_FounderExperienceScore,1.0,0.004293650548423666,0.0006848673099033586,0.011538983224811596,17.0,38.0,44.0,33.0
market_Education,0.008719818272205151,0.020280640752791332,0.0014528133165851997,0.0005863426572510565,52.0,33.0,16.0,33.666666666666664
market_Internet,0.0032504000848999205,0.009276895369717186,0.0022691476442497915,0.001068445885731728,45.0,22.0,36.0,34.333333333333336
market_E-Commerce,0.01976596433821392,0.009528332867287275,0.001243713605771024,0.001582986812261304,37.0,36.0,33.0,35.333333333333336
market_Hospitality,0.005445523175177937,0.014001727605508687,0.00038781821948830064,0.0011448102346068877,44.0,39.0,23.0,35.333333333333336
market_Manufacturing,0.011572278960842812,0.019543371524530676,0.0,0.001779155560896563,35.0,55.5,17.0,35.833333333333336
market_Health and Wellness,0.011542653250006692,0.01947759631240656,0.0011284353695613092,0.0002848929219866185,55.0,37.0,18.0,36.666666666666664
region_UNKNOWN,0.0015900618411637585,0.0011071866732377846,0.0026610342151933697,0.0014874313245101104,38.0,18.0,54.5,36.833333333333336
market_News,0.0029941660750964477,0.004346606874894467,0.0019195154222644284,0.0013330406482958152,42.0,26.0,43.0,37.0
market_Biotechnology,0.05175692846880218,0.023006310070640593,0.0,0.0011671909150055464,43.0,55.5,15.0,37.833333333333336
market_Analytics,0.004980255545911856,0.011023217792490417,0.0,0.0018246055955273089,34.0,55.5,29.0,39.5
market_Real Estate,0.006389704674388994,0.0193751394240815,0.0,0.0005739841167046676,53.0,55.5,19.0,42.5
market_Security,0.006165065195957575,0.005541036803517394,0.0,0.0022725735626005685,31.0,55.5,41.0,42.5
market_Games,0.01285921605744079,0.00983110728988074,0.0,0.0013626072210001297,40.0,55.5,32.0,42.5
income_Low income,0.00031841818728222456,0.00300375754359054,0.0,0.00442692421441119,25.0,55.5,49.0,43.166666666666664
market_Technology,0.004048393783615947,0.00011238554337876863,0.0014489512972013507,0.0014440140606972055,39.0,34.0,57.0,43.333333333333336
market_Web Hosting,0.005430521443660318,0.004071168828021884,0.0,0.002896949238124726,29.0,55.5,46.0,43.5
market_Medical,0.003852779109355558,0.01669442961226932,0.0,0.0003632715326874373,54.0,55.5,21.0,43.5
region_Sub-Saharan Africa,0.003732362198838958,0.005252231210367748,5.8207426457901335e-05,0.0008855316581082023,49.0,41.0,42.0,44.0
region_Latin America & Caribbean,0.019416496162467857,0.001679425590921922,0.0,0.0037385994695165055,27.0,55.5,51.0,44.5
market_Fashion,0.004785011722166065,0.011832976194859951,0.0,0.0006918400403686209,51.0,55.5,27.0,44.5
market_Clean Technology,0.01686027900887854,0.0015690793171719698,0.0,0.003560076113039398,28.0,55.5,52.0,45.166666666666664
market_Mobile,0.017504311079718157,0.002049015331617862,0.0,0.0020311095651748155,33.0,55.5,50.0,46.166666666666664
market_Hardware + Software,0.01390689429741185,0.0036310522388642258,0.0,0.0016786872426657745,36.0,55.5,47.0,46.166666666666664
market_Biotechnology|Health Diagnostics,0.003401063857858978,0.010797907214788715,0.0,0.00020661594634351486,56.0,55.5,30.0,47.166666666666664
market_Health Care,0.013877413982062844,0.008851596340475002,0.0,0.0010314986040260877,48.0,55.5,38.0,47.166666666666664
market_Finance,0.006748912507322403,0.0006464558022216538,0.00023074845590076443,0.000702099428728551,50.0,40.0,56.0,48.666666666666664
income_UNKNOWN,0.0015900618411637585,0.0011071866732377846,0.0,0.0013397186930929773,41.0,55.5,54.5,50.333333333333336
market_Semiconductors,0.007526286963438024,0.0012603947831197734,0.0,0.0010572397823502278,46.0,55.5,53.0,51.5
StartupMaturity_Encoded,4.550073550101593e-05,0.005542367019384773,0.0,0.0,63.0,55.5,40.0,52.833333333333336
scaled_cax_cofounders,0.0,,0.003277504693020683,0.0,63.0,15.0,,
scaled_team_senior_leadership_size,0.0,,0.0,0.0,63.0,55.5,,
scaled_repeat_investor_count,0.0,,0.0015001871545496925,0.0,63.0,31.0,,
scaled_country_hdi,0.0,,0.001494092652107204,0.0,63.0,32.0,,
scaled_entrepreneurial_financing_index,0.0,,0.0019480185939768635,0.0,63.0,25.0,,
scaled_government_support_index,0.0,,0.0,0.0,63.0,55.5,,
scaled_tax_bureaucracy_index,0.0,,0.0,0.0,63.0,55.5,,
scaled_macro_failure_rate_at_founding,0.0,,0.0,0.0,63.0,55.5,,
scaled_BackdropScore,0.0,,0.0,0.0,63.0,55.5,,
worked_in_top_companies,0.0,,0.0,0.0,63.0,55.5,,
is_ml_based,0.0,,0.0016926224500646292,0.0,63.0,29.0,,
b2c_b2b_venture,0.0,,0.0,0.0,63.0,55.5,,
