Strategy,Fund_Capacity_K,Precision@K,Recall@K,Mean_ROI@K,Median_ROI@K,Sharpe_Ratio@K,Prob_Loss@K
GBDT (Standard),10,0.8,0.04938271604938271,8.250928363579325,5.3721831168875305,0.8222270270438903,0.0
Random Forest,10,0.9,0.05555555555555555,8.984676611451302,6.1762112229401565,0.9293163803498804,0.0
Proposed: BCAPM,10,0.9,0.05555555555555555,8.984676611451302,6.1762112229401565,0.9293163803498804,0.0
GBDT (Standard),25,0.68,0.10493827160493827,6.75084585092113,5.049845354155842,1.2208000048630168,0.0
Random Forest,25,0.72,0.1111111111111111,7.2564044496504545,5.413836839873048,1.2628644150145474,0.0
Proposed: BCAPM,25,0.68,0.10493827160493827,6.75084585092113,5.049845354155842,1.2208000048630168,0.0
GBDT (Standard),50,0.64,0.19753086419753085,6.312381899392074,4.995330027824478,1.6643017432186522,0.0
Random Forest,50,0.68,0.20987654320987653,6.730023450043873,5.447294286015843,1.7725659482726432,0.0
Proposed: BCAPM,50,0.64,0.19753086419753085,6.312381899392074,4.995330027824478,1.6643017432186522,0.0
GBDT (Standard),100,0.52,0.32098765432098764,4.868144095617601,4.137645813393739,2.062716750107413,0.0
Random Forest,100,0.53,0.3271604938271605,4.9847093462498195,4.267457161815768,2.158828436241812,0.0
Proposed: BCAPM,100,0.54,0.3333333333333333,5.081508768966593,4.418549163336003,2.175913220523917,0.0
GBDT (Standard),250,0.408,0.6296296296296297,3.6004942623229192,3.3856753751190607,2.6237554111908965,0.0
Random Forest,250,0.408,0.6296296296296297,3.6004942623229192,3.3856753751190607,2.6237554111908965,0.0
Proposed: BCAPM,250,0.36,0.5555555555555556,3.0579253035653013,2.8035329336115438,2.4160145387296685,0.0
