Threshold,Precision,Recall,F1_Score,Investments_Selected,Selection_Rate,Capital_Deployed_M,Opportunity_Loss_M,Capital_Loss_M,Portfolio_Net_Return_M,Portfolio_ROI,Mean_EMV_Per_Deal_M,Total_EMV_M,Capital_Preservation_Ratio,Winner_Capture_Rate
0.01,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.02,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.03,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.05,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.1,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.15,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.2,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.3,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.5,0.9061883816168663,1.0,0.9507857569126715,13186,1.0,13186.0,0.0,1237.0,225794.0,17.123767632337326,17.11208352190322,225639.93331981584,0.0,1.0
0.7,0.9104947756607252,0.9917984768599882,0.9494091728419788,13016,0.9871075382981951,13016.0,1960.0,1165.0,224004.0,17.209895513214505,17.177162339498764,223577.94501091592,0.0582053354890865,0.9917984768599882
0.8,0.9197157791571382,0.9424219599966525,0.9309304344231802,12244,0.9285605945699985,12244.0,13760.0,983.0,212976.0,17.394315583142763,17.377769581024932,212773.41075006925,0.2053354890864996,0.9424219599966525
0.85,0.9288079470198676,0.8450916394677379,0.8849743657157881,10872,0.8245108448354315,10872.0,37020.0,774.0,191088.0,17.576158940397352,17.58669772781571,191202.5776968124,0.3742926434923201,0.8450916394677379
0.9,0.943577430972389,0.6577956314335928,0.775186153163371,8330,0.6317306233884423,8330.0,81780.0,470.0,148870.0,17.87154861944778,17.892709109992225,149046.26688623524,0.6200485044462409,0.6577956314335928
0.95,0.9705152934692752,0.29475269897062517,0.4521761458467069,3629,0.27521613832853026,3629.0,168540.0,107.0,66811.0,18.410305869385507,18.339093131343848,66552.56897364682,0.9135004042037187,0.29475269897062517
